customer_id,days_since_signup,monthly_revenue,subscription_plan,number_of_logins_last30days,active_features_used,support_tickets_opened,last_payment_status,churn
CUST0045,855,99,Basic,46,7,3,Failed,0
CUST0046,88,49,Enterprise,25,8,3,Failed,0
CUST0047,577,49,Basic,6,1,1,Failed,0
CUST0048,566,99,Basic,5,8,3,Failed,0
CUST0049,266,99,Enterprise,21,1,5,Success,0
CUST0050,281,99,Basic,5,1,1,Success,0
CUST0051,142,99,Basic,19,10,1,Success,0
CUST0052,951,49,Enterprise,30,6,0,Failed,0
CUST0053,908,199,Pro,25,9,2,Failed,0
CUST0054,208,49,Enterprise,36,2,4,Failed,0
CUST0055,293,49,Basic,6,8,1,Failed,0
CUST0056,157,49,Enterprise,46,3,5,Success,0
CUST0057,635,199,Basic,7,6,2,Failed,0
CUST0058,164,49,Pro,6,8,1,Success,0
CUST0059,837,199,Basic,33,8,1,Success,0
CUST0060,639,99,Enterprise,32,6,4,Success,0
CUST0061,107,49,Pro,23,5,4,Success,0
CUST0062,154,199,Enterprise,43,6,4,Success,0
CUST0063,242,199,Enterprise,20,9,2,Failed,0
CUST0064,427,99,Pro,23,2,2,Success,0
CUST0065,565,49,Pro,12,4,1,Success,0
CUST0066,175,99,Pro,28,10,2,Failed,0
CUST0067,754,199,Enterprise,17,2,4,Success,0
CUST0068,148,49,Basic,2,1,4,Failed,1
CUST0069,583,99,Enterprise,34,8,4,Success,0
CUST0070,594,49,Basic,15,6,1,Success,0
CUST0071,474,99,Pro,11,6,5,Failed,1
CUST0072,802,49,Pro,6,1,4,Failed,0
CUST0073,22,99,Enterprise,41,1,1,Failed,0
CUST0074,902,49,Pro,26,3,1,Failed,0
CUST0075,550,49,Pro,21,3,0,Success,0
CUST0076,427,199,Basic,4,7,5,Failed,1
CUST0077,213,99,Basic,21,9,2,Success,0
CUST0078,969,99,Enterprise,3,1,2,Success,0
CUST0079,584,199,Enterprise,18,2,0,Failed,0
CUST0080,347,199,Basic,43,6,0,Success,0
CUST0081,570,199,Pro,14,9,4,Success,0
CUST0082,931,99,Pro,50,6,0,Success,0
CUST0083,741,49,Pro,14,2,2,Success,0
CUST0084,573,49,Enterprise,33,3,5,Failed,1
CUST0085,283,199,Basic,28,6,2,Failed,0
CUST0086,794,99,Enterprise,14,5,4,Success,0
CUST0087,921,49,Enterprise,47,10,4,Success,0
CUST0088,893,49,Enterprise,42,5,1,Failed,0
CUST0089,885,199,Pro,3,9,4,Failed,0
CUST0090,499,49,Basic,39,6,5,Success,0
CUST0091,497,49,Enterprise,17,3,5,Success,0
CUST0092,829,49,Pro,20,8,5,Success,0
CUST0093,831,49,Basic,39,4,2,Failed,0
CUST0094,773,49,Basic,38,8,0,Failed,0
CUST0095,146,199,Pro,5,2,2,Failed,0
CUST0096,991,49,Basic,38,2,4,Success,0
CUST0097,739,99,Pro,27,6,5,Failed,1
CUST0098,82,99,Pro,22,6,5,Failed,1
CUST0099,647,199,Basic,31,9,0,Failed,0
CUST0100,244,49,Basic,47,8,1,Success,0
CUST0101,642,199,Enterprise,49,10,0,Success,0
CUST0102,777,199,Enterprise,9,4,1,Success,0
CUST0103,607,99,Pro,37,4,4,Failed,0
CUST0104,370,99,Basic,5,1,4,Failed,0
CUST0105,699,49,Enterprise,6,2,2,Failed,0
CUST0106,922,49,Pro,26,2,4,Success,0
CUST0107,446,49,Basic,33,7,1,Failed,0
CUST0108,666,49,Basic,20,1,2,Success,0
CUST0109,428,99,Pro,35,2,1,Failed,0
CUST0110,887,199,Basic,37,7,0,Success,0
CUST0111,597,99,Basic,30,4,5,Failed,1
CUST0112,397,49,Pro,2,2,2,Success,0
CUST0113,838,199,Basic,38,1,4,Success,0
CUST0114,597,99,Enterprise,33,9,3,Failed,0
CUST0115,512,49,Enterprise,41,7,1,Failed,0
CUST0116,245,49,Basic,46,3,5,Failed,1
CUST0117,442,199,Pro,30,2,3,Failed,0
CUST0118,932,99,Enterprise,41,7,3,Success,0
CUST0119,624,99,Basic,17,6,2,Failed,0
CUST0120,39,199,Enterprise,44,9,3,Success,0
CUST0121,632,49,Enterprise,4,3,5,Success,0
CUST0122,717,199,Pro,50,3,3,Success,0
CUST0123,193,199,Basic,30,7,3,Success,0
CUST0124,974,49,Basic,39,6,5,Success,0
CUST0125,493,199,Enterprise,4,8,2,Success,0
CUST0126,614,49,Pro,28,6,4,Success,0
CUST0127,670,99,Basic,2,5,1,Failed,1
CUST0128,735,99,Enterprise,21,6,2,Success,0
CUST0129,949,199,Pro,30,2,3,Failed,0
CUST0130,268,199,Basic,40,8,4,Failed,0
CUST0131,135,99,Basic,41,3,5,Success,0
CUST0132,311,49,Basic,38,10,5,Success,0
CUST0133,523,49,Basic,7,9,2,Success,0
CUST0134,504,199,Enterprise,1,3,4,Failed,1
CUST0135,685,49,Enterprise,41,2,4,Failed,0
CUST0136,23,99,Pro,29,5,3,Failed,0
CUST0137,231,99,Enterprise,40,5,1,Success,0
CUST0138,778,99,Enterprise,28,2,3,Failed,0
CUST0139,273,199,Basic,12,9,2,Failed,0
CUST0140,711,49,Pro,11,9,4,Failed,0
CUST0141,423,199,Enterprise,9,5,3,Success,0
CUST0142,444,49,Basic,6,5,1,Success,0
CUST0143,166,99,Basic,18,6,1,Success,0
CUST0144,485,199,Basic,33,3,1,Failed,0
CUST0145,704,199,Basic,50,9,2,Success,0
CUST0146,188,99,Enterprise,17,8,1,Success,0
CUST0147,999,99,Basic,40,6,4,Failed,0
CUST0148,808,99,Enterprise,25,4,3,Success,0
CUST0149,545,49,Basic,35,5,4,Failed,0
CUST0150,905,99,Pro,10,2,3,Success,0
CUST0151,594,49,Basic,43,10,1,Success,0
CUST0152,570,49,Enterprise,14,2,4,Failed,0
CUST0153,327,199,Enterprise,12,10,2,Success,0
CUST0154,773,49,Pro,50,8,5,Success,0
CUST0155,443,49,Enterprise,30,7,2,Success,0
CUST0156,104,49,Enterprise,36,3,2,Failed,0
CUST0157,795,199,Pro,34,4,3,Failed,0
CUST0158,785,99,Basic,11,7,5,Failed,1
CUST0159,121,99,Basic,31,3,4,Success,0
CUST0160,335,99,Basic,5,3,5,Failed,1
CUST0161,643,199,Basic,46,9,2,Failed,0
CUST0162,740,49,Basic,40,5,0,Success,0
CUST0163,675,199,Basic,47,9,4,Failed,0
CUST0164,398,199,Basic,32,10,0,Success,0
CUST0165,970,99,Basic,35,9,3,Success,0
CUST0166,716,199,Pro,28,2,1,Success,0
CUST0167,893,199,Enterprise,32,1,5,Failed,1
CUST0168,563,199,Enterprise,46,1,3,Success,0
CUST0169,949,99,Basic,13,7,2,Success,0
CUST0170,120,49,Enterprise,49,7,1,Success,0
CUST0171,510,99,Enterprise,34,5,3,Failed,0
CUST0172,718,199,Basic,18,5,0,Success,0
CUST0173,377,199,Enterprise,14,1,2,Success,0
CUST0174,90,49,Enterprise,46,1,1,Failed,0
CUST0175,171,49,Basic,8,2,4,Failed,0
CUST0176,828,49,Basic,12,4,4,Success,0
CUST0177,208,199,Enterprise,46,1,1,Success,0
CUST0178,284,49,Enterprise,45,7,3,Success,0
CUST0179,881,99,Enterprise,20,8,5,Failed,1
CUST0180,392,99,Pro,4,7,1,Failed,0
CUST0181,363,99,Pro,44,9,1,Failed,0
CUST0182,941,99,Basic,19,9,0,Failed,0
CUST0183,921,99,Pro,1,3,5,Failed,1
CUST0184,491,49,Pro,18,4,4,Failed,0
CUST0185,38,99,Enterprise,22,7,0,Failed,0
CUST0186,211,199,Enterprise,22,3,2,Failed,0
CUST0187,47,99,Pro,47,9,4,Failed,0
CUST0188,735,49,Pro,37,9,0,Failed,0
CUST0189,60,199,Basic,3,8,4,Failed,0
CUST0190,700,99,Basic,13,10,1,Failed,0
CUST0191,345,199,Pro,9,1,4,Success,0
CUST0192,775,99,Basic,41,7,1,Success,0
CUST0193,216,99,Basic,6,2,5,Failed,1
CUST0194,562,199,Basic,44,1,0,Success,0
CUST0195,874,199,Basic,46,3,3,Success,0
CUST0196,873,49,Pro,9,1,4,Success,0
CUST0197,135,49,Pro,41,9,4,Success,0
CUST0198,966,199,Enterprise,21,3,0,Failed,0
CUST0199,490,49,Enterprise,34,10,3,Failed,0
CUST0200,147,199,Pro,14,1,5,Success,0
CUST0201,121,49,Enterprise,2,8,1,Failed,1
CUST0202,277,99,Enterprise,7,9,4,Success,0
CUST0203,373,99,Pro,40,5,5,Failed,1
CUST0204,884,99,Pro,41,1,4,Failed,0
CUST0205,308,99,Enterprise,41,3,4,Failed,0
CUST0206,751,49,Enterprise,32,7,3,Failed,0
CUST0207,305,49,Basic,29,3,5,Failed,1
CUST0208,215,49,Pro,13,9,1,Success,0
CUST0209,939,49,Pro,42,5,1,Failed,0
CUST0210,727,49,Pro,8,4,3,Success,0
CUST0211,386,199,Pro,50,9,3,Failed,0
CUST0212,363,99,Enterprise,45,10,0,Failed,0
CUST0213,44,199,Pro,12,2,4,Success,0
CUST0214,75,49,Pro,35,7,5,Failed,1
CUST0215,314,199,Pro,28,2,3,Failed,0
CUST0216,198,49,Pro,22,9,3,Failed,0
CUST0217,409,49,Pro,35,1,4,Success,0
CUST0218,884,99,Basic,39,2,4,Failed,0
CUST0219,665,99,Basic,5,9,0,Success,0
CUST0220,5,199,Enterprise,3,2,2,Failed,0
CUST0221,775,99,Basic,8,1,4,Success,0
CUST0222,700,99,Enterprise,37,2,4,Failed,0
CUST0223,373,49,Pro,4,4,1,Failed,0
CUST0224,670,99,Pro,15,1,3,Failed,0
CUST0225,386,49,Pro,39,6,1,Failed,0
CUST0226,340,99,Enterprise,16,8,1,Success,0
CUST0227,409,49,Enterprise,22,4,5,Success,0
CUST0228,511,49,Pro,27,10,0,Success,0
CUST0229,351,99,Enterprise,5,9,2,Failed,0
CUST0230,677,199,Basic,37,9,0,Success,0
CUST0231,204,49,Enterprise,14,9,4,Failed,0
CUST0232,341,199,Basic,2,7,1,Failed,1
CUST0233,718,49,Enterprise,10,2,3,Success,0
CUST0234,656,99,Pro,9,8,5,Failed,1
CUST0235,769,199,Basic,28,2,1,Failed,0
CUST0236,852,99,Basic,41,9,5,Failed,1
CUST0237,334,49,Basic,44,6,1,Success,0
CUST0238,375,199,Enterprise,35,6,1,Success,0
CUST0239,665,99,Pro,37,1,4,Failed,0
CUST0240,588,99,Pro,50,4,4,Success,0
CUST0241,672,199,Pro,22,8,5,Failed,1
CUST0242,626,99,Enterprise,33,2,1,Success,0
CUST0243,86,99,Enterprise,19,4,1,Failed,0
CUST0244,175,199,Enterprise,37,7,4,Failed,0
CUST0245,276,99,Pro,20,3,2,Success,0
CUST0246,511,49,Pro,33,4,1,Success,0
CUST0247,253,49,Basic,10,7,1,Success,0
CUST0248,606,99,Enterprise,18,5,5,Failed,1
CUST0249,762,99,Pro,26,10,4,Success,0
CUST0250,47,49,Pro,24,1,1,Failed,0
CUST0251,384,49,Pro,8,1,1,Success,0
CUST0252,536,199,Enterprise,21,3,1,Success,0
CUST0253,886,99,Basic,32,6,2,Success,0
CUST0254,280,49,Pro,50,10,4,Success,0
CUST0255,603,199,Enterprise,20,2,5,Failed,1
CUST0256,512,199,Pro,24,7,1,Success,0
CUST0257,789,199,Enterprise,0,1,3,Success,1
CUST0258,346,199,Basic,50,7,1,Failed,0
CUST0259,550,199,Basic,30,3,4,Success,0
CUST0260,451,49,Pro,40,3,0,Failed,0
CUST0261,660,99,Basic,48,2,5,Success,0
CUST0262,945,199,Basic,21,10,0,Failed,0
CUST0263,362,49,Pro,37,3,5,Failed,1
CUST0264,106,99,Basic,10,3,0,Success,0
CUST0265,23,49,Pro,28,6,4,Success,0
CUST0266,461,199,Enterprise,29,2,3,Success,0
CUST0267,828,49,Basic,40,9,1,Failed,0
CUST0268,728,99,Enterprise,8,2,2,Success,0
CUST0269,831,99,Basic,46,7,4,Failed,0
CUST0270,961,99,Pro,22,6,1,Success,0
CUST0271,917,99,Enterprise,38,10,2,Success,0
CUST0272,677,99,Enterprise,37,6,1,Failed,0
CUST0273,696,49,Basic,50,7,0,Success,0
CUST0274,751,49,Enterprise,20,10,3,Success,0
CUST0275,245,99,Basic,33,8,4,Success,0
CUST0276,587,49,Enterprise,20,8,5,Success,0
CUST0277,445,49,Basic,16,9,2,Success,0
CUST0278,804,99,Pro,48,9,5,Failed,1
CUST0279,877,99,Pro,40,7,1,Failed,0
CUST0280,122,99,Basic,31,1,5,Success,0
CUST0281,194,199,Basic,43,6,5,Success,0
CUST0282,719,99,Enterprise,31,5,2,Failed,0
CUST0283,276,49,Basic,26,4,2,Success,0
CUST0284,983,99,Basic,11,2,0,Failed,0
CUST0285,641,99,Basic,6,9,5,Success,0
CUST0286,946,99,Enterprise,15,2,4,Success,0
CUST0287,352,49,Basic,25,3,4,Failed,0
CUST0288,272,49,Basic,10,5,3,Failed,0
CUST0289,737,199,Pro,50,4,1,Failed,0
CUST0290,867,49,Basic,41,2,0,Success,0
CUST0291,457,199,Pro,9,6,5,Failed,1
CUST0292,898,199,Enterprise,2,10,1,Success,0
CUST0293,806,199,Enterprise,0,1,4,Success,1
CUST0294,19,49,Basic,8,4,0,Failed,0
CUST0295,975,199,Enterprise,22,2,1,Success,0
CUST0296,787,49,Basic,39,6,2,Success,0
CUST0297,502,199,Basic,38,5,3,Failed,0
CUST0298,222,99,Pro,39,10,5,Failed,1
CUST0299,408,99,Basic,22,6,1,Failed,0
CUST0300,797,199,Basic,48,5,2,Failed,0
CUST0301,844,99,Basic,22,10,0,Success,0
CUST0302,655,49,Enterprise,3,3,5,Success,0
CUST0303,423,99,Enterprise,17,6,4,Success,0
CUST0304,930,49,Pro,18,8,1,Failed,0
CUST0305,410,199,Enterprise,33,1,0,Failed,0
CUST0306,919,99,Enterprise,34,1,3,Failed,0
CUST0307,520,99,Basic,17,2,1,Failed,0
CUST0308,451,49,Enterprise,49,6,1,Failed,0
CUST0309,223,99,Pro,0,10,1,Failed,1
CUST0310,857,49,Basic,15,2,4,Failed,0
CUST0311,362,99,Enterprise,27,3,0,Success,0
CUST0312,964,49,Pro,10,3,4,Failed,0
CUST0313,455,99,Pro,31,3,5,Success,0
CUST0314,420,199,Pro,38,1,0,Success,0
CUST0315,704,199,Basic,47,7,1,Success,0
CUST0316,850,199,Enterprise,18,7,2,Failed,0
CUST0317,29,199,Basic,16,4,3,Success,0
CUST0318,588,49,Pro,22,5,1,Failed,0
CUST0319,34,99,Enterprise,39,7,4,Failed,0
CUST0320,232,49,Pro,9,9,3,Success,0
CUST0321,157,199,Pro,47,6,3,Success,0
CUST0322,719,99,Enterprise,46,3,0,Failed,0
CUST0323,658,199,Basic,46,9,1,Success,0
CUST0324,79,49,Basic,38,2,4,Failed,0
CUST0325,252,49,Enterprise,42,5,5,Failed,1
CUST0326,765,99,Pro,2,8,2,Success,0
CUST0327,615,99,Enterprise,6,4,0,Failed,0
CUST0328,650,99,Pro,8,4,3,Success,0
CUST0329,812,99,Basic,24,6,3,Success,0
CUST0330,285,49,Basic,8,4,1,Success,0
CUST0331,867,99,Basic,49,1,1,Failed,0
CUST0332,786,99,Pro,31,4,0,Failed,0
CUST0333,237,199,Pro,5,6,3,Failed,0
CUST0334,840,49,Pro,46,9,1,Success,0
CUST0335,772,199,Basic,33,6,3,Failed,0
CUST0336,845,199,Enterprise,47,7,3,Success,0
CUST0337,317,49,Enterprise,28,2,0,Success,0
CUST0338,424,199,Pro,36,4,0,Success,0
CUST0339,732,99,Basic,11,3,5,Success,0
CUST0340,668,99,Enterprise,20,6,2,Failed,0
CUST0341,836,199,Pro,10,3,2,Success,0
CUST0342,768,199,Pro,3,6,2,Failed,0
CUST0343,12,199,Basic,12,3,5,Failed,1
CUST0344,942,49,Basic,49,1,4,Failed,0
CUST0345,353,49,Basic,33,4,4,Failed,0
CUST0346,615,199,Pro,0,6,2,Failed,1
CUST0347,435,99,Basic,3,9,5,Failed,1
CUST0348,955,199,Pro,32,5,0,Success,0
CUST0349,416,199,Basic,38,1,5,Failed,1
CUST0350,955,199,Pro,0,10,4,Success,0
CUST0351,717,99,Enterprise,9,1,1,Failed,0
CUST0352,144,199,Basic,0,5,0,Failed,1
CUST0353,840,99,Enterprise,12,2,5,Success,0
CUST0354,946,199,Pro,39,3,0,Success,0
CUST0355,31,49,Enterprise,36,6,3,Failed,0
CUST0356,598,199,Enterprise,40,10,4,Failed,0
CUST0357,401,199,Enterprise,49,8,4,Failed,0
CUST0358,993,99,Pro,42,5,0,Failed,0
CUST0359,682,199,Pro,36,6,0,Success,0
CUST0360,514,99,Enterprise,25,9,3,Success,0
CUST0361,766,99,Enterprise,0,2,0,Success,1
CUST0362,112,199,Basic,14,5,3,Success,0
CUST0363,638,199,Basic,41,9,5,Success,0
CUST0364,427,199,Basic,16,9,1,Success,0
CUST0365,942,99,Basic,29,4,0,Failed,0
CUST0366,742,49,Basic,15,8,3,Success,0
CUST0367,988,199,Enterprise,35,6,4,Failed,0
CUST0368,154,49,Pro,42,6,5,Failed,1
CUST0369,260,199,Pro,49,4,2,Success,0
CUST0370,383,199,Basic,47,5,4,Failed,0
CUST0371,56,49,Enterprise,32,7,0,Failed,0
CUST0372,748,49,Basic,33,6,2,Success,0
CUST0373,504,49,Enterprise,32,7,5,Failed,1
CUST0374,981,199,Basic,21,5,3,Success,0
CUST0375,167,199,Pro,7,7,1,Failed,0
CUST0376,894,199,Pro,18,9,4,Failed,0
CUST0377,261,49,Pro,18,1,2,Failed,0
CUST0378,826,99,Basic,6,3,2,Success,0
CUST0379,215,99,Pro,33,9,5,Success,0
CUST0380,992,99,Basic,20,9,4,Failed,0
CUST0381,251,199,Basic,23,3,3,Success,0
CUST0382,447,99,Pro,45,6,2,Failed,0
CUST0383,243,49,Pro,27,7,0,Failed,0
CUST0384,824,49,Basic,29,2,3,Success,0
CUST0385,194,99,Basic,23,7,4,Success,0
CUST0386,249,199,Basic,10,9,1,Failed,0
CUST0387,733,49,Pro,19,4,0,Failed,0
CUST0388,39,99,Pro,37,8,1,Failed,0
CUST0389,131,199,Pro,36,1,0,Success,0
CUST0390,202,49,Basic,29,5,4,Success,0
CUST0391,454,49,Enterprise,46,7,0,Success,0
CUST0392,168,99,Basic,12,9,0,Success,0
CUST0393,766,99,Basic,7,8,0,Success,0
CUST0394,544,99,Pro,23,9,4,Failed,0
CUST0395,299,199,Basic,4,8,0,Success,0
CUST0396,724,199,Enterprise,27,3,2,Failed,0
CUST0397,857,49,Pro,32,4,0,Failed,0
CUST0398,616,99,Basic,50,2,4,Success,0
CUST0399,44,49,Basic,23,2,4,Failed,0
CUST0400,979,99,Enterprise,27,2,4,Failed,0
CUST0401,752,99,Basic,6,8,5,Success,0
CUST0402,730,49,Basic,19,5,1,Success,0
CUST0403,796,49,Enterprise,20,10,5,Success,0
CUST0404,638,49,Pro,39,3,0,Success,0
CUST0405,930,199,Basic,12,7,5,Success,0
CUST0406,416,199,Basic,20,8,4,Success,0
CUST0407,838,199,Enterprise,45,9,2,Failed,0
CUST0408,891,99,Pro,7,7,3,Success,0
CUST0409,970,199,Pro,48,8,1,Failed,0
CUST0410,271,49,Enterprise,29,10,2,Failed,0
CUST0411,221,49,Enterprise,12,1,0,Success,0
CUST0412,995,199,Pro,38,5,0,Failed,0
CUST0413,148,199,Basic,48,10,4,Success,0
CUST0414,352,99,Basic,38,5,0,Success,0
CUST0415,166,99,Enterprise,29,1,5,Success,0
CUST0416,829,99,Pro,31,2,5,Success,0
CUST0417,819,99,Basic,12,3,3,Failed,0
CUST0418,758,199,Pro,21,2,5,Success,0
CUST0419,109,49,Enterprise,34,2,0,Success,0
CUST0420,571,199,Pro,31,5,2,Success,0
CUST0421,993,99,Enterprise,29,8,2,Success,0
CUST0422,222,199,Pro,9,7,5,Success,0
CUST0423,973,49,Basic,18,4,0,Failed,0
CUST0424,462,99,Basic,38,9,0,Failed,0
CUST0425,134,49,Basic,35,3,2,Success,0
CUST0426,565,199,Basic,50,10,3,Success,0
CUST0427,674,199,Pro,27,7,3,Failed,0
CUST0428,472,99,Basic,32,1,4,Success,0
CUST0429,1000,199,Pro,36,2,1,Success,0
CUST0430,626,99,Pro,42,1,5,Failed,1
CUST0431,560,199,Basic,3,10,3,Success,0
CUST0432,206,99,Basic,23,3,1,Failed,0
CUST0433,60,199,Enterprise,10,8,2,Failed,0
CUST0434,765,99,Enterprise,3,2,5,Failed,1
CUST0435,642,49,Basic,36,3,3,Success,0
CUST0436,556,49,Basic,19,8,3,Failed,0
CUST0437,353,49,Basic,0,7,5,Failed,1
CUST0438,132,49,Pro,17,10,3,Success,0
CUST0439,590,199,Enterprise,7,2,2,Success,0
CUST0440,107,199,Pro,50,5,3,Failed,0
CUST0441,419,49,Pro,31,9,0,Success,0
CUST0442,584,199,Pro,24,10,2,Success,0
CUST0443,523,199,Basic,37,8,1,Success,0
CUST0444,584,199,Enterprise,32,2,5,Success,0
CUST0445,621,199,Enterprise,35,7,1,Success,0
CUST0446,208,99,Enterprise,45,6,2,Failed,0
CUST0447,335,49,Pro,10,8,0,Success,0
CUST0448,879,49,Pro,4,5,1,Success,0
CUST0449,140,49,Basic,11,5,5,Success,0
CUST0450,578,49,Basic,13,6,2,Failed,0
CUST0451,216,99,Enterprise,39,3,5,Failed,1
CUST0452,960,49,Enterprise,25,5,5,Success,0
CUST0453,51,49,Basic,41,4,3,Failed,0
CUST0454,688,99,Pro,22,8,0,Success,0
CUST0455,459,99,Enterprise,43,3,5,Failed,1
CUST0456,378,199,Enterprise,34,1,5,Failed,1
CUST0457,11,99,Enterprise,16,4,1,Failed,0
CUST0458,390,99,Enterprise,29,5,5,Failed,1
CUST0459,331,99,Basic,11,3,0,Success,0
CUST0460,348,99,Enterprise,7,10,4,Failed,0
CUST0461,200,49,Pro,30,1,1,Success,0
CUST0462,968,49,Pro,27,7,2,Success,0
CUST0463,705,99,Basic,20,7,5,Failed,1
CUST0464,285,99,Enterprise,1,3,3,Failed,1
CUST0465,44,99,Pro,11,8,3,Success,0
CUST0466,604,199,Pro,45,3,5,Failed,1
CUST0467,471,99,Enterprise,24,6,5,Success,0
CUST0468,60,49,Pro,19,1,0,Failed,0
CUST0469,761,99,Enterprise,29,2,5,Success,0
CUST0470,994,49,Enterprise,37,7,3,Failed,0
CUST0471,668,199,Basic,8,7,1,Failed,0
CUST0472,942,99,Basic,19,8,3,Failed,0
CUST0473,762,49,Pro,43,4,2,Failed,0
CUST0474,679,99,Basic,48,10,0,Failed,0
CUST0475,177,199,Pro,46,6,5,Success,0
CUST0476,62,49,Enterprise,22,1,2,Failed,0
CUST0477,25,49,Pro,16,9,5,Failed,1
CUST0478,934,99,Basic,49,7,0,Success,0
CUST0479,26,49,Pro,24,4,2,Success,0
CUST0480,148,99,Pro,38,4,1,Failed,0
CUST0481,599,99,Enterprise,15,4,1,Failed,0
CUST0482,925,99,Basic,49,7,4,Failed,0
CUST0483,871,99,Pro,18,4,0,Failed,0
CUST0484,854,49,Basic,50,8,4,Success,0
CUST0485,462,49,Basic,33,5,5,Failed,1
CUST0486,342,49,Basic,4,8,2,Failed,0
CUST0487,245,49,Pro,43,9,3,Failed,0
CUST0488,288,49,Pro,45,7,0,Failed,0
CUST0489,362,49,Basic,11,6,3,Success,0
CUST0490,47,49,Pro,27,4,2,Success,0
CUST0491,894,99,Pro,48,6,4,Failed,0
CUST0492,145,99,Enterprise,39,5,3,Failed,0
CUST0493,283,49,Enterprise,42,4,5,Success,0
CUST0494,767,199,Pro,13,2,5,Failed,1
CUST0495,603,99,Enterprise,3,9,0,Failed,0
CUST0496,119,199,Enterprise,28,9,1,Success,0
CUST0497,44,49,Pro,39,3,2,Success,0
CUST0498,241,99,Pro,48,10,2,Success,0
CUST0499,108,49,Enterprise,37,10,0,Failed,0
CUST0500,985,99,Enterprise,6,4,4,Failed,0
